storage_location,productID
1,4
2,4
3,5
4,5
5,1
6,5
7,-1
8,-1
9,1
10,1
11,4
12,4
13,5
14,5
15,1
16,5
17,5
18,5
19,1
20,1
21,1
22,2
23,2
24,3
25,3
26,1
27,1
28,2
29,3
30,3
31,1
32,2
33,2
34,3
35,3
36,1
37,1
38,2
39,3
40,3
