storage_location,productID
1,4
2,4
3,2
4,2
5,2
6,-1
7,-1
8,2
9,2
10,2
11,4
12,4
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,1
22,1
23,1
24,3
25,3
26,1
27,1
28,1
29,3
30,3
31,1
32,1
33,1
34,3
35,3
36,1
37,1
38,1
39,3
40,3
